Date,Month,Week,Year,City,StationCode,Location,State,Avg Temp,MaxTemp,MinTemp,WindDirection,WindSpeed
01-01-2016,1,3,2016,Birmingham,BHM,"Birmingham, AL",Alabama,39,46,32,33,4.33
02-01-2016,1,3,2016,Huntsville,HSV,"Huntsville, AL",Alabama,39,47,31,32,3.86
03-01-2016,1,3,2016,Mobile,MOB,"Mobile, AL",Alabama,46,51,41,35,9.73
04-01-2016,1,3,2016,Montgomery,MGM,"Montgomery, AL",Alabama,45,52,38,32,6.86
05-01-2016,1,3,2016,Anchorage,ANC,"Anchorage, AK",Alaska,34,38,29,19,7.8
06-01-2016,1,3,2016,Annette,ANN,"Annette, AK",Alaska,38,44,31,9,8.7
07-01-2016,1,3,2016,Bethel,BET,"Bethel, AK",Alaska,30,36,24,9,16.46
08-01-2016,1,3,2016,Bettles,BTT,"Bettles, AK",Alaska,22,32,9,2,3.1
09-01-2016,1,3,2016,Cold Bay,CDB,"Cold Bay, AK",Alaska,34,36,31,20,9.1
10-01-2016,1,3,2016,Cordova,CDV,"Cordova, AK",Alaska,38,43,33,9,9.76
11-01-2016,1,3,2016,Delta Junction/Ft Greely,BIG,"Delta Junction/Ft Greely, AK",Alaska,31,39,23,14,17.9
12-01-2016,1,3,2016,Fairbanks,FAI,"Fairbanks, AK",Alaska,14,30,4,2,2.2
13-01-2016,1,3,2016,Gulkana,GKN,"Gulkana, AK",Alaska,27,34,19,14,8.23
14-01-2016,1,3,2016,Homer,HOM,"Homer, AK",Alaska,39,42,35,9,11.26
15-01-2016,1,3,2016,Iliamna,ILI,"Iliamna, AK",Alaska,40,42,37,9,19.76
16-01-2016,1,3,2016,Juneau,JNU,"Juneau, AK",Alaska,36,40,31,10,9.23
17-01-2016,1,3,2016,Kenai,ENA,"Kenai, AK",Alaska,34,37,30,6,11.2
18-01-2016,1,3,2016,Ketchikan,KTN,"Ketchikan, AK",Alaska,37,41,33,15,6.16
19-01-2016,1,3,2016,King Salmon,AKN,"King Salmon, AK",Alaska,39,42,35,10,18.83
20-01-2016,1,3,2016,Kodiak,ADQ,"Kodiak, AK",Alaska,40,42,36,11,21.8
21-01-2016,1,3,2016,Kotzebue,OTZ,"Kotzebue, AK",Alaska,27,33,20,11,11.76
22-01-2016,1,3,2016,Mc Grath,MCG,"Mc Grath, AK",Alaska,30,39,20,15,3.7
23-01-2016,1,3,2016,Nome,OME,"Nome, AK",Alaska,29,32,25,6,12.86
24-01-2016,1,3,2016,Northway,ORT,"Northway, AK",Alaska,0,8,-9,20,0.36
25-01-2016,1,3,2016,Palmer,PAQ,"Palmer, AK",Alaska,37,42,32,8,10.5
26-01-2016,1,3,2016,Petersburg,PSG,"Petersburg, AK",Alaska,60,60,60,18,1.83
27-01-2016,1,3,2016,Puntilla Lake,PTI,"Puntilla Lake, AK",Alaska,60,60,60,0,0
28-01-2016,1,3,2016,Shemya,SYA,"Shemya, AK",Alaska,60,60,60,0,0
29-01-2016,1,3,2016,Sitka,SIT,"Sitka, AK",Alaska,43,46,39,19,11.26
30-01-2016,1,3,2016,Skagway,SGY,"Skagway, AK",Alaska,38,42,33,14,5.2
31-01-2016,1,3,2016,St Paul Island,SNP,"St Paul Island, AK",Alaska,32,35,29,22,9.03
01-02-2016,1,3,2016,Talkeetna,TKA,"Talkeetna, AK",Alaska,32,39,23,2,4.93
02-02-2016,1,3,2016,Tanana,TAL,"Tanana, AK",Alaska,21,29,13,8,3.83
03-02-2016,1,3,2016,Utqiagvik (Barrow),BRW,"Utqiagvik (Barrow), AK",Alaska,6,9,2,6,13.76
